Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,1.190000,1.220000,1.190000,1.210000,1.137976,10969100
2019-09-19,1.220000,1.230000,1.180000,1.190000,1.119167,8055700
2019-09-20,1.190000,1.200000,1.160000,1.170000,1.100357,3146100
2019-09-23,1.160000,1.180000,1.160000,1.160000,1.090952,2429000
2019-09-24,1.170000,1.180000,1.170000,1.170000,1.100357,1507800
2019-09-25,1.170000,1.170000,1.130000,1.140000,1.072143,7062900
2019-09-26,1.160000,1.160000,1.140000,1.150000,1.081548,2884100
2019-09-27,1.140000,1.150000,1.130000,1.130000,1.062738,1915600
2019-09-30,1.130000,1.140000,1.110000,1.130000,1.062738,1723200
2019-10-01,1.140000,1.170000,1.140000,1.160000,1.090952,5591700
2019-10-02,1.140000,1.150000,1.120000,1.120000,1.053333,2733300
2019-10-03,1.110000,1.160000,1.100000,1.160000,1.090952,7406100
2019-10-04,1.160000,1.160000,1.140000,1.140000,1.072143,2423500
2019-10-07,1.150000,1.160000,1.140000,1.140000,1.072143,1965000
2019-10-08,1.150000,1.170000,1.150000,1.160000,1.090952,4301400
2019-10-09,1.150000,1.170000,1.140000,1.150000,1.081548,4240400
2019-10-10,1.140000,1.170000,1.140000,1.160000,1.090952,2030200
2019-10-11,1.170000,1.200000,1.170000,1.200000,1.128572,8940700
2019-10-14,1.210000,1.230000,1.190000,1.190000,1.119167,6201600
2019-10-15,1.200000,1.240000,1.170000,1.230000,1.156786,12402700
2019-10-16,1.250000,1.270000,1.240000,1.250000,1.175595,12517300
2019-10-17,1.250000,1.270000,1.240000,1.260000,1.185000,8259600
2019-10-18,1.260000,1.290000,1.260000,1.280000,1.203809,14719500
2019-10-21,1.280000,1.310000,1.270000,1.300000,1.222619,11067400
2019-10-22,1.320000,1.330000,1.300000,1.330000,1.250834,8854200
2019-10-23,1.330000,1.400000,1.330000,1.400000,1.316667,19477400
2019-10-24,1.410000,1.420000,1.370000,1.410000,1.326072,8750900
2019-10-25,1.440000,1.500000,1.420000,1.480000,1.391905,17650100
2019-10-29,1.510000,1.530000,1.470000,1.490000,1.401310,8703300
2019-10-30,1.500000,1.510000,1.410000,1.510000,1.420119,14133000
2019-10-31,1.520000,1.520000,1.490000,1.500000,1.410715,3756800
2019-11-01,1.480000,1.540000,1.460000,1.530000,1.438929,9248700
2019-11-04,1.580000,1.640000,1.580000,1.630000,1.532976,15033200
2019-11-05,1.640000,1.650000,1.600000,1.630000,1.532976,7780100
2019-11-06,1.640000,1.760000,1.630000,1.760000,1.655238,23521100
2019-11-07,1.760000,1.840000,1.750000,1.810000,1.702262,17537300
2019-11-08,1.820000,1.830000,1.770000,1.810000,1.702262,8408100
2019-11-11,1.800000,1.800000,1.700000,1.710000,1.608214,8509300
2019-11-12,1.720000,1.810000,1.710000,1.790000,1.683452,11397400
2019-11-13,1.780000,1.790000,1.750000,1.750000,1.645834,4276000
2019-11-14,1.760000,1.780000,1.750000,1.760000,1.655238,4100100
2019-11-15,1.780000,1.820000,1.780000,1.780000,1.674048,9164900
2019-11-18,1.800000,1.880000,1.800000,1.870000,1.758690,11005400
2019-11-19,1.860000,1.860000,1.810000,1.850000,1.739881,6024000
2019-11-20,1.860000,1.890000,1.820000,1.820000,1.711667,7227700
2019-11-21,1.810000,1.820000,1.760000,1.790000,1.683452,5625800
2019-11-22,1.820000,1.830000,1.790000,1.800000,1.692857,2959400
2019-11-25,1.820000,1.840000,1.780000,1.790000,1.683452,3903800
2019-11-26,1.820000,1.830000,1.780000,1.780000,1.674048,2983200
2019-11-27,1.790000,1.810000,1.780000,1.790000,1.683452,1732800
2019-11-28,1.780000,1.790000,1.700000,1.710000,1.608214,6991500
2019-11-29,1.720000,1.810000,1.720000,1.800000,1.692857,13647200
2019-12-02,1.810000,1.960000,1.810000,1.960000,1.843333,20585200
2019-12-03,1.930000,1.990000,1.910000,1.940000,1.824524,15522500
2019-12-04,1.910000,1.950000,1.900000,1.920000,1.805714,3995000
2019-12-05,1.960000,1.970000,1.930000,1.950000,1.833929,3214800
2019-12-06,1.950000,1.950000,1.900000,1.930000,1.815119,3761200
2019-12-09,1.940000,1.950000,1.900000,1.910000,1.796310,4688300
2019-12-10,1.900000,1.930000,1.870000,1.890000,1.777500,5465200
2019-12-11,1.900000,1.910000,1.880000,1.890000,1.777500,3047100
2019-12-12,1.920000,1.930000,1.900000,1.900000,1.786905,3405000
2019-12-13,1.940000,1.950000,1.920000,1.930000,1.815119,5453500
2019-12-16,1.930000,1.950000,1.910000,1.920000,1.805714,2371700
2019-12-17,1.930000,1.930000,1.890000,1.900000,1.786905,2142700
2019-12-18,1.900000,1.920000,1.880000,1.910000,1.796310,2843100
2019-12-19,1.910000,1.910000,1.880000,1.890000,1.777500,3053200
2019-12-20,1.900000,1.910000,1.860000,1.860000,1.749286,4554100
2019-12-23,1.870000,1.880000,1.830000,1.850000,1.739881,2560800
2019-12-24,1.850000,1.900000,1.850000,1.890000,1.777500,2775500
2019-12-25,1.890000,1.890000,1.890000,1.890000,1.777500,0
2019-12-26,1.900000,1.910000,1.870000,1.880000,1.768095,2070500
2019-12-27,1.900000,1.900000,1.880000,1.890000,1.777500,1458800
2019-12-30,1.900000,1.990000,1.880000,1.990000,1.871548,11823100
2019-12-31,1.980000,2.030000,1.970000,2.020000,1.899762,6667000
2020-01-02,2.040000,2.100000,2.040000,2.090000,1.965595,9308500
2020-01-03,2.100000,2.120000,2.040000,2.040000,1.918572,7326800
2020-01-06,2.020000,2.030000,1.980000,1.980000,1.862143,6079100
2020-01-07,2.010000,2.050000,2.010000,2.040000,1.918572,4871100
2020-01-08,1.980000,2.010000,1.960000,2.000000,1.880953,8218400
2020-01-09,2.050000,2.080000,2.030000,2.050000,1.927976,9523900
2020-01-10,2.080000,2.180000,2.080000,2.180000,2.050238,15019000
2020-01-13,2.180000,2.220000,2.170000,2.190000,2.059643,5375200
2020-01-14,2.210000,2.220000,2.140000,2.160000,2.031429,5086000
2020-01-15,2.160000,2.190000,2.150000,2.160000,2.031429,3264900
2020-01-16,2.170000,2.210000,2.170000,2.180000,2.050238,6989100
2020-01-17,2.190000,2.210000,2.150000,2.160000,2.031429,4278700
2020-01-20,2.160000,2.170000,2.120000,2.130000,2.003214,4943000
2020-01-21,2.120000,2.120000,2.070000,2.080000,1.956191,5671100
2020-01-22,2.090000,2.140000,2.090000,2.130000,2.003214,4687400
2020-01-23,2.110000,2.120000,2.050000,2.050000,1.927976,5629500
2020-01-24,2.100000,2.120000,2.080000,2.110000,1.984405,5733600
2020-01-28,2.010000,2.040000,1.970000,2.010000,1.890357,8710100
2020-01-29,2.040000,2.050000,2.000000,2.020000,1.899762,5377600
2020-01-30,2.010000,2.020000,1.930000,1.930000,1.815119,6529200
2020-01-31,1.960000,1.980000,1.900000,1.900000,1.786905,5747200
2020-02-03,1.850000,1.900000,1.840000,1.890000,1.777500,5264600
2020-02-04,1.900000,1.950000,1.900000,1.950000,1.833929,7692800
2020-02-05,1.970000,1.980000,1.890000,1.940000,1.824524,9280300
2020-02-06,1.940000,1.970000,1.910000,1.960000,1.843333,6254700
2020-02-07,1.950000,1.950000,1.860000,1.870000,1.758690,6246400
2020-02-10,1.830000,1.890000,1.810000,1.880000,1.768095,3480400
2020-02-11,1.900000,1.960000,1.900000,1.950000,1.833929,9512400
2020-02-12,1.950000,2.020000,1.930000,2.010000,1.890357,8349700
2020-02-13,2.000000,2.050000,1.990000,2.040000,1.918572,6345500
2020-02-14,2.020000,2.090000,2.010000,2.060000,1.937381,5886200
2020-02-17,2.060000,2.150000,2.060000,2.140000,2.012619,7394300
2020-02-18,2.130000,2.190000,2.120000,2.170000,2.040833,6067500
2020-02-19,2.200000,2.270000,2.200000,2.220000,2.087857,9753900
2020-02-20,2.250000,2.300000,2.220000,2.270000,2.134881,6528300
2020-02-21,2.250000,2.280000,2.230000,2.230000,2.097262,4363600
2020-02-24,2.180000,2.190000,2.060000,2.090000,1.965595,9139800
2020-02-25,2.120000,2.220000,2.120000,2.210000,2.078452,8697800
2020-02-26,2.260000,2.280000,2.160000,2.170000,2.040833,15525300
2020-02-27,2.210000,2.280000,2.210000,2.240000,2.106667,18978700
2020-02-28,2.150000,2.210000,2.090000,2.130000,2.003214,16321000
2020-03-02,2.120000,2.220000,2.100000,2.220000,2.087857,7564600
2020-03-03,2.250000,2.260000,2.140000,2.180000,2.050238,12592200
2020-03-04,2.170000,2.200000,2.150000,2.170000,2.040833,6936800
2020-03-05,2.190000,2.190000,2.090000,2.090000,1.965595,11897100
2020-03-06,2.090000,2.090000,1.990000,2.040000,1.918572,11597300
2020-03-09,1.950000,1.950000,1.830000,1.830000,1.721072,15278300
2020-03-10,1.850000,1.970000,1.840000,1.960000,1.843333,17121400
2020-03-11,1.920000,1.950000,1.840000,1.860000,1.749286,12451800
2020-03-12,1.800000,1.860000,1.710000,1.720000,1.617619,17251500
2020-03-13,1.600000,1.780000,1.560000,1.710000,1.608214,18748500
2020-03-16,1.630000,1.700000,1.560000,1.590000,1.495357,12986900
2020-03-17,1.620000,1.680000,1.600000,1.610000,1.514167,13679500
2020-03-18,1.610000,1.610000,1.610000,1.610000,1.514167,0
2020-03-19,1.530000,1.550000,1.310000,1.370000,1.288452,18504500
2020-03-20,1.400000,1.590000,1.390000,1.570000,1.476548,21576200
2020-03-23,1.450000,1.480000,1.380000,1.430000,1.344881,10258200
2020-03-24,1.510000,1.560000,1.480000,1.540000,1.448334,14116300
2020-03-25,1.610000,1.690000,1.570000,1.670000,1.570595,21412400
2020-03-26,1.630000,1.700000,1.570000,1.640000,1.542381,14430000
2020-03-27,1.700000,1.720000,1.630000,1.640000,1.542381,10839000
2020-03-30,1.590000,1.660000,1.580000,1.640000,1.542381,10233000
2020-03-31,1.670000,1.690000,1.630000,1.670000,1.570595,10834400
2020-04-01,1.640000,1.670000,1.620000,1.640000,1.542381,7819400
2020-04-02,1.620000,1.730000,1.610000,1.710000,1.608214,12384100
2020-04-03,1.710000,1.740000,1.650000,1.670000,1.570595,10128400
2020-04-06,1.720000,1.770000,1.700000,1.730000,1.627024,11466700
2020-04-07,1.780000,1.930000,1.760000,1.920000,1.805714,16207000
2020-04-08,1.860000,2.000000,1.860000,1.960000,1.843333,14462700
2020-04-09,1.990000,2.040000,1.980000,1.990000,1.871548,9407800
2020-04-13,1.960000,1.990000,1.930000,1.940000,1.824524,5654000
2020-04-14,1.970000,2.020000,1.960000,2.020000,1.899762,8863300
2020-04-15,2.050000,2.080000,1.970000,1.990000,1.871548,9292400
2020-04-16,1.980000,2.050000,1.960000,2.040000,1.918572,6100700
2020-04-17,2.100000,2.120000,2.060000,2.110000,1.984405,10897300
2020-04-20,2.140000,2.140000,2.090000,2.120000,1.993810,5469700
2020-04-21,2.110000,2.120000,2.050000,2.080000,1.956191,5728000
2020-04-22,2.060000,2.150000,2.060000,2.130000,2.003214,7725200
2020-04-23,2.140000,2.200000,2.130000,2.170000,2.040833,10417900
2020-04-24,2.110000,2.170000,2.100000,2.140000,2.012619,5703000
2020-04-27,2.170000,2.170000,2.140000,2.160000,2.031429,2749900
2020-04-28,2.170000,2.190000,2.140000,2.180000,2.050238,5001200
2020-04-29,2.260000,2.380000,2.220000,2.370000,2.228929,22843000
2020-04-30,2.430000,2.550000,2.420000,2.450000,2.304167,14407000
2020-05-04,2.340000,2.420000,2.320000,2.370000,2.228929,9607300
2020-05-05,2.420000,2.550000,2.420000,2.530000,2.379405,11556500
2020-05-06,2.530000,2.640000,2.520000,2.580000,2.426429,12215300
2020-05-08,2.820000,3.120000,2.820000,3.080000,2.896667,25524700
2020-05-11,3.190000,3.400000,3.150000,3.170000,2.981310,15566500
2020-05-12,3.170000,3.260000,3.000000,3.090000,2.906072,15788700
2020-05-13,3.040000,3.180000,3.040000,3.150000,2.962501,7016000
2020-05-14,3.110000,3.200000,3.100000,3.160000,3.001443,5427700
2020-05-15,3.260000,3.270000,3.100000,3.110000,2.953952,6553800
2020-05-18,3.140000,3.140000,3.000000,3.020000,2.868468,7859400
2020-05-19,3.080000,3.140000,3.050000,3.110000,2.953952,6607700
2020-05-20,3.110000,3.130000,3.080000,3.110000,2.953952,2273900
2020-05-21,3.140000,3.140000,3.060000,3.060000,2.906461,3933600
2020-05-22,3.060000,3.080000,2.940000,2.960000,2.811478,8013600
2020-05-26,3.020000,3.180000,3.020000,3.160000,3.001443,11030400
2020-05-27,3.150000,3.270000,3.110000,3.130000,2.972948,12239100
2020-05-28,3.150000,3.170000,3.080000,3.110000,2.983501,5044800
2020-05-29,3.090000,3.150000,3.030000,3.060000,2.935535,3529700
2020-06-01,3.110000,3.150000,3.080000,3.120000,2.993094,3250900
2020-06-02,3.120000,3.140000,3.070000,3.140000,3.012281,5545100
2020-06-03,3.160000,3.170000,3.050000,3.080000,2.954721,6505000
2020-06-04,3.090000,3.340000,3.060000,3.130000,3.002687,21717700
2020-06-05,3.160000,3.290000,3.150000,3.270000,3.136993,8102300
2020-06-08,3.330000,3.350000,3.180000,3.230000,3.098620,6269100
